,Date,Time [h],Cycle,Biolector well,Trigger,Source,Destination,Sample volume,Mode,Tip,Sampling round,Sample ID
0,03-03-2022,"41,0586111111111",411,C01,Sample1 (Abs.Time [h]),BioLector:C01,Slot3:1,300,Sampling,Fixed,1,CFB5-S1-D3:1-U1
1,03-03-2022,"41,0586111111111",411,C02,Sample1 (Abs.Time [h]),BioLector:C02,Slot3:2,300,Sampling,Fixed,1,CFB5-S1-D3:2-U1
2,03-03-2022,"41,0586111111111",411,C03,Sample1 (Abs.Time [h]),BioLector:C03,Slot3:3,300,Sampling,Fixed,1,CFB5-S1-D3:3-U1
3,03-03-2022,"41,0586111111111",411,C04,Sample1 (Abs.Time [h]),BioLector:C04,Slot3:4,300,Sampling,Fixed,1,CFB5-S1-D3:4-U1
4,03-03-2022,"41,0586111111111",411,C05,Sample1 (Abs.Time [h]),BioLector:C05,Slot3:5,300,Sampling,Fixed,1,CFB5-S1-D3:5-U1
5,03-03-2022,"41,0586111111111",411,C06,Sample1 (Abs.Time [h]),BioLector:C06,Slot3:6,300,Sampling,Fixed,1,CFB5-S1-D3:6-U1
6,03-03-2022,"42,7586111111111",428,D01,Sample2 (Abs.Time [h]),BioLector:D01,Slot3:1,300,Sampling,Fixed,2,CFB5-S2-D3:1-U1
7,03-03-2022,"42,7586111111111",428,D02,Sample2 (Abs.Time [h]),BioLector:D02,Slot3:2,300,Sampling,Fixed,2,CFB5-S2-D3:2-U1
8,03-03-2022,"42,7586111111111",428,D03,Sample2 (Abs.Time [h]),BioLector:D03,Slot3:3,300,Sampling,Fixed,2,CFB5-S2-D3:3-U1
9,03-03-2022,"42,7586111111111",428,D04,Sample2 (Abs.Time [h]),BioLector:D04,Slot3:4,300,Sampling,Fixed,2,CFB5-S2-D3:4-U1
10,03-03-2022,"42,7586111111111",428,D05,Sample2 (Abs.Time [h]),BioLector:D05,Slot3:5,300,Sampling,Fixed,2,CFB5-S2-D3:5-U1
11,03-03-2022,"42,7586111111111",428,D06,Sample2 (Abs.Time [h]),BioLector:D06,Slot3:6,300,Sampling,Fixed,2,CFB5-S2-D3:6-U1
12,03-03-2022,"44,5586111111111",446,E01,Sample3 (Abs.Time [h]),BioLector:E01,Slot3:1,100,Sampling,Fixed,3,CFB5-S3-D3:1-U1
13,03-03-2022,"44,5586111111111",446,E02,Sample3 (Abs.Time [h]),BioLector:E02,Slot3:2,100,Sampling,Fixed,3,CFB5-S3-D3:2-U1
14,03-03-2022,"44,5586111111111",446,E03,Sample3 (Abs.Time [h]),BioLector:E03,Slot3:3,100,Sampling,Fixed,3,CFB5-S3-D3:3-U1
15,03-03-2022,"44,5586111111111",446,E04,Sample3 (Abs.Time [h]),BioLector:E04,Slot3:4,100,Sampling,Fixed,3,CFB5-S3-D3:4-U1
16,03-03-2022,"44,5586111111111",446,E05,Sample3 (Abs.Time [h]),BioLector:E05,Slot3:5,100,Sampling,Fixed,3,CFB5-S3-D3:5-U1
17,03-03-2022,"44,5586111111111",446,E06,Sample3 (Abs.Time [h]),BioLector:E06,Slot3:6,100,Sampling,Fixed,3,CFB5-S3-D3:6-U1
18,03-03-2022,"45,0586111111111",451,C07,Sample4 (Abs.Time [h]),BioLector:C07,Slot3:1,300,Sampling,Fixed,4,CFB5-S4-D3:1-U1
19,03-03-2022,"45,0586111111111",451,C08,Sample4 (Abs.Time [h]),BioLector:C08,Slot3:2,300,Sampling,Fixed,4,CFB5-S4-D3:2-U1
