Strain,Biolector well,Biolector column,Biolector row,Cycle,Time,Feeding time,Volume,Accum. feed [uL],Biomass concentration [light scatter],DO%,Sample volume
Yeast_strain_1,C01,01,C,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,2.890000104904175,147.44000244140625,0.0
Yeast_strain_1,C02,02,C,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,2.8399999141693115,146.25,0.0
Yeast_strain_2,C03,03,C,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,2.930000066757202,145.42999267578125,0.0
Yeast_strain_2,C04,04,C,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,2.970000028610229,145.61000061035156,0.0
Yeast_strain_3,C05,05,C,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.130000114440918,148.24000549316406,0.0
Yeast_strain_3,C06,06,C,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,2.950000047683716,147.92999267578125,0.0
Yeast_strain_1,D01,01,D,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.130000114440918,147.80999755859375,0.0
Yeast_strain_1,D02,02,D,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.259999990463257,147.72000122070312,0.0
Yeast_strain_2,D03,03,D,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.190000057220459,147.42999267578125,0.0
Yeast_strain_2,D04,04,D,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.2699999809265137,147.64999389648438,0.0
Yeast_strain_3,D05,05,D,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.380000114440918,146.92999267578125,0.0
Yeast_strain_3,D06,06,D,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.619999885559082,144.32000732421875,0.0
Yeast_strain_1,E01,01,E,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.549999952316284,148.19000244140625,0.0
Yeast_strain_1,E02,02,E,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.400000095367432,148.5500030517578,0.0
Yeast_strain_2,E03,03,E,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.569999933242798,144.77000427246094,0.0
Yeast_strain_2,E04,04,E,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.660000085830689,148.17999267578125,0.0
Yeast_strain_3,E05,05,E,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.700000047683716,147.75999450683594,0.0
Yeast_strain_3,E06,06,E,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.880000114440918,144.27000427246094,0.0
Yeast_strain_1,F01,01,F,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.740000009536743,149.47999572753906,0.0
Yeast_strain_1,F02,02,F,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.450000047683716,148.47000122070312,0.0
Yeast_strain_2,F03,03,F,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.990000009536743,144.36000061035156,0.0
Yeast_strain_2,F04,04,F,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.509999990463257,148.36000061035156,0.0
Yeast_strain_3,F05,05,F,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.839999914169312,147.89999389648438,0.0
Yeast_strain_3,F06,06,F,145.0,14.502799987792969,0.1999998092651367,800.32,0.32,3.400000095367432,147.80999755859375,0.0
Yeast_strain_1,C01,01,C,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.0,147.3000030517578,0.0
Yeast_strain_1,C02,02,C,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.009999990463257,147.8800048828125,0.0
Yeast_strain_2,C03,03,C,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,2.990000009536743,145.89999389648438,0.0
Yeast_strain_2,C04,04,C,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,2.890000104904175,146.16000366210938,0.0
Yeast_strain_3,C05,05,C,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.039999961853028,147.86000061035156,0.0
Yeast_strain_3,C06,06,C,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,2.9200000762939453,148.2899932861328,0.0
Yeast_strain_1,D01,01,D,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.119999885559082,148.33999633789062,0.0
Yeast_strain_1,D02,02,D,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.259999990463257,147.85000610351562,0.0
Yeast_strain_2,D03,03,D,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.3299999237060547,148.1300048828125,0.0
Yeast_strain_2,D04,04,D,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.309999942779541,147.80999755859375,0.0
Yeast_strain_3,D05,05,D,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.369999885559082,147.5,0.0
Yeast_strain_3,D06,06,D,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.569999933242798,144.4199981689453,0.0
Yeast_strain_1,E01,01,E,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.5999999046325684,148.35000610351562,0.0
Yeast_strain_1,E02,02,E,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.4800000190734863,148.50999450683594,0.0
Yeast_strain_2,E03,03,E,146.0,14.602800369262695,0.3000001907348633,800.48,0.48,3.670000076293945,144.55999755859375,0.0
